filepath,filename,pred_top1_id,pred_top1_name,pred_top1_prob,pred_top2_id,pred_top2_name,pred_top2_prob,pred_top3_id,pred_top3_name,pred_top3_prob,pred_top4_id,pred_top4_name,pred_top4_prob,pred_top5_id,pred_top5_name,pred_top5_prob
todas_imagens\ABBOTTS_BABBLER__test__1.jpg,ABBOTTS_BABBLER__test__1.jpg,16,017.Cardinal,8.61,169,170.Mourning_Warbler,6.9,195,196.House_Wren,5.66,177,178.Swainson_Warbler,4.99,196,197.Marsh_Wren,3.55
todas_imagens\ABBOTTS_BABBLER__test__2.jpg,ABBOTTS_BABBLER__test__2.jpg,195,196.House_Wren,66.37,194,195.Carolina_Wren,6.47,192,193.Bewick_Wren,2.53,196,197.Marsh_Wren,2.46,177,178.Swainson_Warbler,2.18
todas_imagens\ABBOTTS_BABBLER__test__3.jpg,ABBOTTS_BABBLER__test__3.jpg,177,178.Swainson_Warbler,13.25,194,195.Carolina_Wren,9.72,195,196.House_Wren,8.42,167,168.Kentucky_Warbler,5.44,127,128.Seaside_Sparrow,4.59
todas_imagens\ABBOTTS_BABBLER__test__4.jpg,ABBOTTS_BABBLER__test__4.jpg,30,031.Black_billed_Cuckoo,31.61,127,128.Seaside_Sparrow,5.65,177,178.Swainson_Warbler,4.43,194,195.Carolina_Wren,2.15,21,022.Chuck_will_Widow,1.75
todas_imagens\ABBOTTS_BABBLER__test__5.jpg,ABBOTTS_BABBLER__test__5.jpg,194,195.Carolina_Wren,20.42,169,170.Mourning_Warbler,7.88,177,178.Swainson_Warbler,6.47,195,196.House_Wren,6.24,192,193.Bewick_Wren,2.88
todas_imagens\ABBOTTS_BABBLER__train__001.jpg,ABBOTTS_BABBLER__train__001.jpg,169,170.Mourning_Warbler,23.43,180,181.Worm_eating_Warbler,12.97,127,128.Seaside_Sparrow,6.22,25,026.Bronzed_Cowbird,2.82,193,194.Cactus_Wren,2.51
todas_imagens\ABBOTTS_BABBLER__train__002.jpg,ABBOTTS_BABBLER__train__002.jpg,180,181.Worm_eating_Warbler,11.98,169,170.Mourning_Warbler,8.77,194,195.Carolina_Wren,6.09,27,028.Brown_Creeper,6.06,177,178.Swainson_Warbler,4.88
todas_imagens\ABBOTTS_BABBLER__train__003.jpg,ABBOTTS_BABBLER__train__003.jpg,192,193.Bewick_Wren,24.93,195,196.House_Wren,14.51,177,178.Swainson_Warbler,4.68,147,148.Green_tailed_Towhee,4.65,169,170.Mourning_Warbler,2.18
todas_imagens\ABBOTTS_BABBLER__train__004.jpg,ABBOTTS_BABBLER__train__004.jpg,194,195.Carolina_Wren,22.8,195,196.House_Wren,17.82,192,193.Bewick_Wren,11.91,177,178.Swainson_Warbler,6.25,169,170.Mourning_Warbler,4.12
todas_imagens\ABBOTTS_BABBLER__train__005.jpg,ABBOTTS_BABBLER__train__005.jpg,194,195.Carolina_Wren,22.8,195,196.House_Wren,17.82,192,193.Bewick_Wren,11.91,177,178.Swainson_Warbler,6.25,169,170.Mourning_Warbler,4.12
